stadium_name,stadium_location,stadium_open,stadium_close,stadium_type,stadium_weather_type,stadium_capacity,stadium_surface,ELEVATION
Alamo Dome,"San Antonio, TX",,,indoor,dome,72000,FieldTurf,
Alltel Stadium,"Jacksonville, FL",,,,,,,
Alumni Stadium,"Chestnut Hill, MA",,,outdoor,cold,,Grass,
Anaheim Stadium,"Anaheim, CA",1980,1994,outdoor,warm,,,
Arrowhead Stadium,"Kansas City, MO",1972,,outdoor,cold,"76,416",Grass,264.9
AT&T Stadium,"Arlington, TX",2009,,retractable,dome,"80,000",FieldTurf,163.4
Atlanta-Fulton County Stadium,"Atlanta, GA",1966,1991,outdoor,warm,,,
Balboa Stadium,"San Diego, CA",,,outdoor,warm,,Grass,
Bank of America Stadium,"Charlotte, NC",1996,2016,outdoor,moderate,"73,778",Grass,221.9
Busch Memorial Stadium,"St. Louis, MO",1966,1995,outdoor,cold,,,189
Candlestick Park,"San Francisco, CA",1960,2013,outdoor,moderate,,,2.4
CenturyLink Field,"Seattle, WA",2002,,outdoor,moderate,"67,000",FieldTurf,93
Cinergy Field,"Cincinnati, OH",1970,1999,outdoor,cold,,,193.9
Cleveland Municipal Stadium,"Cleveland, OH",1931,1995,outdoor,cold,,,238
Cotton Bowl,"Dallas, TX",,,outdoor,moderate,,"Grass, Turf (1970-1971)",
Cowboys Stadium,"Arlington, TX",2009,,retractable,dome,"80,000",FieldTurf,163.4
Dolphin Stadium,"Miami, FL",,,,,,,
Edward Jones Dome,"St. Louis, MO",1995,,indoor,dome,,,
Estadio Azteca,"Mexico City, Mexico",1966,,outdoor,warm,,,
EverBank Field,"Jacksonville, FL",1995,,outdoor,warm,"67,264",Grass,6.1
FedExField,"Landover, MD",1997,2016,outdoor,moderate,"79,000",Grass,15.2
FirstEnergy Stadium,"Cleveland, OH",1999,,outdoor,cold,"68,000",Grass,238
Ford Field,"Detroit, MI",2002,,indoor,dome,"65,000",FieldTurf,
Foxboro Stadium,"Foxborough, MA",1971,2001,outdoor,cold,,,24.4
Franklin Field,"Philadelphia, PA",,,outdoor,cold,,"Grass, Turf (1969-1970)",
Georgia Dome,"Atlanta, GA",1992,,indoor,dome,"71,250",FieldTurf,
Giants Stadium,"East Rutherford, NJ",1976,2009,outdoor,cold,,,2.1
Gillette Stadium,"Foxborough, MA",2002,,outdoor,cold,"68,756",FieldTurf,24.4
Hard Rock Stadium,"Miami Gardens, FL",1987,,outdoor,warm,"65,326",Grass,8.8
Harvard Stadium,"Boston, MA",1970,1970,outdoor,cold,"70,000",Grass,
Heinz Field,"Pittsburgh, PA",2001,,outdoor,cold,"65,500",Grass,366.7
Houlihan's Stadium,"Tampa, FL",1969,1997,outdoor,warm,,,5.8
Houston Astrodome,"Houston, TX",1968,1996,indoor,dome,,,
Hubert H. Humphrey Metrodome,"Minneapolis, MN",1982,2009,indoor,dome,,,
Husky Stadium,"Seattle, WA",2000,2001,outdoor,moderate,,,93
Jack Murphy Stadium,"San Diego, CA",,,,,,,
Joe Robbie Stadium,"Miami, FL",,,,,,,
Kansas City Municipal Stadium,"Kansas City, MO",,,outdoor,cold,,Grass,
